member_id,name,constituency,email,website,office_type,office_title,office_address,office_city,office_province,office_postal_code,office_note,office_phone,office_fax,source,time_retrieved
96081,The Honourable Anita Anand,,Anita.Anand@parl.gc.ca,http://anitaanand.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-4014,613-992-0520,https://www.ourcommons.ca/members/en/anita-anand(96081),1707851479772
96081,The Honourable Anita Anand,,Anita.Anand@parl.gc.ca,http://anitaanand.libparl.ca,Constituency Office,Main office -  Oakville,,Oakville,Ontario,L6J 1G7,,905-338-2008,905-338-5432,https://www.ourcommons.ca/members/en/anita-anand(96081),1707851479772
89449,The Honourable Gary Anandasangaree,,gary.anand@parl.gc.ca,http://garyanandasangaree.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1351,613-992-1373,https://www.ourcommons.ca/members/en/gary-anandasangaree(89449),1707851479772
89449,The Honourable Gary Anandasangaree,,gary.anand@parl.gc.ca,http://garyanandasangaree.libparl.ca,Constituency Office,Main office -  Toronto,,Toronto,Ontario,M1C 4Y8,,416-283-1414,416-283-5012,https://www.ourcommons.ca/members/en/gary-anandasangaree(89449),1707851479772
25470,Charlie Angus,,charlie.angus@parl.gc.ca,http://www.charlieangus.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2919,613-995-0747,https://www.ourcommons.ca/members/en/charlie-angus(25470),1707851479772
25470,Charlie Angus,,charlie.angus@parl.gc.ca,http://www.charlieangus.ca,Constituency Office,Main office -  Timmins,,Timmins,Ontario,P4N 1E2,,705-268-6464,705-268-6460,https://www.ourcommons.ca/members/en/charlie-angus(25470),1707851479772
25470,Charlie Angus,,charlie.angus@parl.gc.ca,http://www.charlieangus.ca,Constituency Office,Kirkland Lake,,Kirkland Lake,Ontario,P2N 3N8,,705-567-2747,705-567-5232,https://www.ourcommons.ca/members/en/charlie-angus(25470),1707851479772
89294,Mel Arnold,,mel.arnold@parl.gc.ca,http://melarnold.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-9095,613-992-3195,https://www.ourcommons.ca/members/en/mel-arnold(89294),1707851479772
89294,Mel Arnold,,mel.arnold@parl.gc.ca,http://melarnold.ca,Constituency Office,Main office -  Vernon,,Vernon,British Columbia,V1T 5A8,,250-260-5020,250-260-5025,https://www.ourcommons.ca/members/en/mel-arnold(89294),1707851479772
89383,René Arseneault,,rene.arseneault@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-0581,613-996-9736,https://www.ourcommons.ca/members/en/rene-arseneault(89383),1707851479772
89383,René Arseneault,,rene.arseneault@parl.gc.ca,,Constituency Office,Main office -  Dalhousie,,Dalhousie,New Brunswick,E8C 1A5,,506-684-6267,506-684-6250,https://www.ourcommons.ca/members/en/rene-arseneault(89383),1707851479772
89383,René Arseneault,,rene.arseneault@parl.gc.ca,,Constituency Office,Edmundston,,Edmundston,New Brunswick,E3V 1E5,,506-739-0285,506-739-0306,https://www.ourcommons.ca/members/en/rene-arseneault(89383),1707851479772
88860,Chandra Arya,,chandra.arya@parl.gc.ca,http://chandraarya.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1325,613-992-1336,https://www.ourcommons.ca/members/en/chandra-arya(88860),1707851479772
88860,Chandra Arya,,chandra.arya@parl.gc.ca,http://chandraarya.libparl.ca,Constituency Office,Main office -  Nepean,,Nepean,Ontario,K2J 6B6,,613-825-5505,613-825-2055,https://www.ourcommons.ca/members/en/chandra-arya(88860),1707851479772
36037,Niki Ashton,,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3018,613-996-5817,https://www.ourcommons.ca/members/en/niki-ashton(36037),1707851479772
36037,Niki Ashton,,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,Constituency Office,Main office -  Thompson,,Thompson,Manitoba,R8N 0L6,,204-677-1333,204-677-1339,https://www.ourcommons.ca/members/en/niki-ashton(36037),1707851479772
36037,Niki Ashton,,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,Constituency Office,The Pas,,The Pas,Manitoba,R9A 1M6,,204-627-8716,204-627-8717,https://www.ourcommons.ca/members/en/niki-ashton(36037),1707851479772
36037,Niki Ashton,,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,Constituency Office,Peguis,,Peguis,Manitoba,R0C 3J0,,431-971-1015,,https://www.ourcommons.ca/members/en/niki-ashton(36037),1707851479772
104586,Jenica Atwin,,Jenica.Atwin@parl.gc.ca,http://jenicafredericton.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1067,613-996-9955,https://www.ourcommons.ca/members/en/jenica-atwin(104586),1707851479772
104586,Jenica Atwin,,Jenica.Atwin@parl.gc.ca,http://jenicafredericton.ca,Constituency Office,Main office -  Fredericton,,Fredericton,New Brunswick,E3A 1C8,,506-452-4110,506-452-4076,https://www.ourcommons.ca/members/en/jenica-atwin(104586),1707851479772
105854,Taylor Bachrach,,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-7688,613-993-9007,https://www.ourcommons.ca/members/en/taylor-bachrach(105854),1707851479772
105854,Taylor Bachrach,,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,Constituency Office,Smithers,,Smithers,British Columbia,V0J 2N0,,250-877-4140,,https://www.ourcommons.ca/members/en/taylor-bachrach(105854),1707851479772
105854,Taylor Bachrach,,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,Constituency Office,Main office -  Terrace,,Terrace,British Columbia,V8G 1T2,,250-615-5339,250-615-5344,https://www.ourcommons.ca/members/en/taylor-bachrach(105854),1707851479772
105854,Taylor Bachrach,,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,Constituency Office,Prince Rupert,,Prince Rupert,British Columbia,V8J 3T1,,250-622-2413,250-624-7737,https://www.ourcommons.ca/members/en/taylor-bachrach(105854),1707851479772
88867,Vance Badawey,,vance.badawey@parl.gc.ca,http://vancebadawey.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-0988,613-995-5245,https://www.ourcommons.ca/members/en/vance-badawey(88867),1707851479772
88867,Vance Badawey,,vance.badawey@parl.gc.ca,http://vancebadawey.libparl.ca,Constituency Office,Main office -  Welland,,Welland,Ontario,L3B 3W6,,905-788-2204,905-788-0071,https://www.ourcommons.ca/members/en/vance-badawey(88867),1707851479772
111067,Parm Bains,,parm.bains@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1385,613-992-1410,https://www.ourcommons.ca/members/en/parm-bains(111067),1707851479772
111067,Parm Bains,,parm.bains@parl.gc.ca,,Constituency Office,Main office -  Richmond,,Richmond,British Columbia,V7A 5J9,,604-257-2900,604-257-2904,https://www.ourcommons.ca/members/en/parm-bains(111067),1707851479772
105121,Yvan Baker,,Yvan.Baker@parl.gc.ca,http://yvanbaker.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-947-5000,613-947-4276,https://www.ourcommons.ca/members/en/yvan-baker(105121),1707851479772
105121,Yvan Baker,,Yvan.Baker@parl.gc.ca,http://yvanbaker.libparl.ca,Constituency Office,Main office -  Etobicoke,,Etobicoke,Ontario,M9C 2Y3,,416-249-7322,416-249-6117,https://www.ourcommons.ca/members/en/yvan-baker(105121),1707851479772
30330,Tony Baldinelli,,Tony.Baldinelli@parl.gc.ca,http://www.tonybaldinellimp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1547,613-992-7910,https://www.ourcommons.ca/members/en/tony-baldinelli(30330),1707851479772
30330,Tony Baldinelli,,Tony.Baldinelli@parl.gc.ca,http://www.tonybaldinellimp.ca,Constituency Office,Main office -  Niagara Falls,,Niagara Falls,Ontario,L2E 6M9,,905-353-9590,905-353-9588,https://www.ourcommons.ca/members/en/tony-baldinelli(30330),1707851479772
30330,Tony Baldinelli,,Tony.Baldinelli@parl.gc.ca,http://www.tonybaldinellimp.ca,Constituency Office,Fort Erie,,Fort Erie,Ontario,L2A 2S4,,905-871-9991,905-871-5046,https://www.ourcommons.ca/members/en/tony-baldinelli(30330),1707851479772
86261,John Barlow,,john.barlow@parl.gc.ca,http://johnbarlowmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-8471,613-996-9770,https://www.ourcommons.ca/members/en/john-barlow(86261),1707851479772
86261,John Barlow,,john.barlow@parl.gc.ca,http://johnbarlowmp.ca,Constituency Office,Main office -  High River,,High River,Alberta,T1V 1M5,,403-603-3665,403-603-3669,https://www.ourcommons.ca/members/en/john-barlow(86261),1707851479772
102275,Michael Barrett,,Michael.Barrett@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-8756,613-996-9171,https://www.ourcommons.ca/members/en/michael-barrett(102275),1707851479772
102275,Michael Barrett,,Michael.Barrett@parl.gc.ca,,Constituency Office,Main office -  Brockville,,Brockville,Ontario,K6V 4V5,,866-498-3096,613-498-3100,https://www.ourcommons.ca/members/en/michael-barrett(102275),1707851479772
102275,Michael Barrett,,Michael.Barrett@parl.gc.ca,,Constituency Office,Kemptville,,Kemptville,Ontario,K0G 1J0,,866-498-3096,,https://www.ourcommons.ca/members/en/michael-barrett(102275),1707851479772
111023,Lisa Marie Barron,,lisamarie.barron@parl.gc.ca,http://lisamariebarron.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-5243,613-992-9112,https://www.ourcommons.ca/members/en/lisa-marie-barron(111023),1707851479772
111023,Lisa Marie Barron,,lisamarie.barron@parl.gc.ca,http://lisamariebarron.ndp.ca,Constituency Office,Main office -  Nanaimo,,Nanaimo,British Columbia,V9R 6B9,,250-734-6400,250-734-6404,https://www.ourcommons.ca/members/en/lisa-marie-barron(111023),1707851479772
88422,Xavier Barsalou-Duval,,xavier.barsalou-duval@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-996-2998,613-995-1062,https://www.ourcommons.ca/members/en/xavier-barsalou-duval(88422),1707851479772
88422,Xavier Barsalou-Duval,,xavier.barsalou-duval@parl.gc.ca,,Constituency Office,Main office -  Varennes,,Varennes,Quebec,J3X 1P7,,450-652-4442,450-652-4447,https://www.ourcommons.ca/members/en/xavier-barsalou-duval(88422),1707851479772
104571,Jaime Battiste,,Jaime.Battiste@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6459,613-995-2963,https://www.ourcommons.ca/members/en/jaime-battiste(104571),1707851479772
104571,Jaime Battiste,,Jaime.Battiste@parl.gc.ca,,Constituency Office,Main office -  Membertou First Nation (Sydney),,Membertou First Nation (Sydney),Nova Scotia,B1S 2N9,,902-567-6275,902-564-2479,https://www.ourcommons.ca/members/en/jaime-battiste(104571),1707851479772
376,Mario Beaulieu,,mario.beaulieu@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6327,613-996-5173,https://www.ourcommons.ca/members/en/mario-beaulieu(376),1707851479772
376,Mario Beaulieu,,mario.beaulieu@parl.gc.ca,,Constituency Office,Main office -  Montréal,,Montréal,Quebec,H1B 5P5,,514-645-0101,514-645-0032,https://www.ourcommons.ca/members/en/mario-beaulieu(376),1707851479772
89236,The Honourable Terry Beech,,terry.beech@parl.gc.ca,http://terrybeechmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0802,613-992-0824,https://www.ourcommons.ca/members/en/terry-beech(89236),1707851479772
89236,The Honourable Terry Beech,,terry.beech@parl.gc.ca,http://terrybeechmp.ca,Constituency Office,Main office -  Burnaby,,Burnaby,British Columbia,V5C 6C1,,604-718-8870,604-718-8874,https://www.ourcommons.ca/members/en/terry-beech(89236),1707851479772
88567,Rachel Bendayan,,Rachel.Bendayan@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-7691,613-995-0114,https://www.ourcommons.ca/members/en/rachel-bendayan(88567),1707851479772
88567,Rachel Bendayan,,Rachel.Bendayan@parl.gc.ca,,Constituency Office,Main office -  Montréal,,Montréal,Quebec,H2T 2N7,,514-736-2727,514-736-2726,https://www.ourcommons.ca/members/en/rachel-bendayan(88567),1707851479772
496,Stéphane Bergeron,,Stephane.Bergeron@parl.gc.ca,http://www.stephanebergeron.net,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-996-2416,613-995-6973,https://www.ourcommons.ca/members/en/stephane-bergeron(496),1707851479772
496,Stéphane Bergeron,,Stephane.Bergeron@parl.gc.ca,http://www.stephanebergeron.net,Constituency Office,Main office -  Sainte-julie,,Sainte-julie,Quebec,J3E 1Y8,,450-922-2562,450-922-1223,https://www.ourcommons.ca/members/en/stephane-bergeron(496),1707851479772
88541,Luc Berthold,,luc.berthold@parl.gc.ca,http://lucberthold.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1377,613-943-1562,https://www.ourcommons.ca/members/en/luc-berthold(88541),1707851479772
88541,Luc Berthold,,luc.berthold@parl.gc.ca,http://lucberthold.ca,Constituency Office,Main office -  Thetford Mines,,Thetford Mines,Quebec,G6G 2J9,,418-338-2903,418-338-3631,https://www.ourcommons.ca/members/en/luc-berthold(88541),1707851479772
88541,Luc Berthold,,luc.berthold@parl.gc.ca,http://lucberthold.ca,Constituency Office,Plessisville,,Plessisville,Quebec,G6L 1R3,,819-362-0055,,https://www.ourcommons.ca/members/en/luc-berthold(88541),1707851479772
88541,Luc Berthold,,luc.berthold@parl.gc.ca,http://lucberthold.ca,Constituency Office,Lac-Mégantic,,Lac-Mégantic,Quebec,G6B 1H6,,819-583-0074,,https://www.ourcommons.ca/members/en/luc-berthold(88541),1707851479772
104622,Sylvie Bérubé,,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3030,613-996-0828,https://www.ourcommons.ca/members/en/sylvie-berube(104622),1707851479772
104622,Sylvie Bérubé,,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,Constituency Office,Main office -  Val-d'Or,,Val-d'Or,Quebec,J9P 5E6,,819-824-2942,819-824-2958,https://www.ourcommons.ca/members/en/sylvie-berube(104622),1707851479772
104622,Sylvie Bérubé,,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,Constituency Office,Lebel-sur-quevillon,,Lebel-sur-quevillon,Quebec,J0Y 1X0,,,,https://www.ourcommons.ca/members/en/sylvie-berube(104622),1707851479772
104622,Sylvie Bérubé,,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,Constituency Office,Chibougamau,,Chibougamau,Quebec,G8P 3A1,,,,https://www.ourcommons.ca/members/en/sylvie-berube(104622),1707851479772
25475,James Bezan,,james.bezan@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2032,613-992-6224,https://www.ourcommons.ca/members/en/james-bezan(25475),1707851479772
25475,James Bezan,,james.bezan@parl.gc.ca,,Constituency Office,Main office -  Selkirk,,Selkirk,Manitoba,R1A 0Y5,,204-785-6151,204-785-6153,https://www.ourcommons.ca/members/en/james-bezan(25475),1707851479772
88449,The Honourable Marie-Claude Bibeau,,marie-claude.bibeau@parl.gc.ca,http://marieclaudebibeau.libparl.ca/?lang=en,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-2024,613-992-1696,https://www.ourcommons.ca/members/en/marie-claude-bibeau(88449),1707851479772
88449,The Honourable Marie-Claude Bibeau,,marie-claude.bibeau@parl.gc.ca,http://marieclaudebibeau.libparl.ca/?lang=en,Constituency Office,Main office -  Sherbrooke,,Sherbrooke,Quebec,J1M 1K1,,819-347-2598,819-347-3583,https://www.ourcommons.ca/members/en/marie-claude-bibeau(88449),1707851479772
88934,Chris Bittle,,chris.bittle@parl.gc.ca,http://chrisbittle.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3352,613-947-4402,https://www.ourcommons.ca/members/en/chris-bittle(88934),1707851479772
88934,Chris Bittle,,chris.bittle@parl.gc.ca,http://chrisbittle.libparl.ca,Constituency Office,Main office -  St. Catharines,,St. Catharines,Ontario,L2M 4M6,,905-934-6767,905-934-1577,https://www.ourcommons.ca/members/en/chris-bittle(88934),1707851479772
89032,Daniel Blaikie,,daniel.blaikie@parl.gc.ca,http://www.danielblaikiemp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6339,613-995-6688,https://www.ourcommons.ca/members/en/daniel-blaikie(89032),1707851479772
89032,Daniel Blaikie,,daniel.blaikie@parl.gc.ca,http://www.danielblaikiemp.ca,Constituency Office,Main office -  Winnipeg,,Winnipeg,Manitoba,R2K 3Z5,,204-984-2499,204-984-2502,https://www.ourcommons.ca/members/en/daniel-blaikie(89032),1707851479772
88961,The Honourable Bill Blair,,bill.blair@parl.gc.ca,http://billblair.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-0284,613-996-6309,https://www.ourcommons.ca/members/en/bill-blair(88961),1707851479772
88961,The Honourable Bill Blair,,bill.blair@parl.gc.ca,http://billblair.libparl.ca,Constituency Office,Main office -  Scarborough,,Scarborough,Ontario,M1N 1T8,,416-261-8613,416-261-5268,https://www.ourcommons.ca/members/en/bill-blair(88961),1707851479772
104669,Yves-François Blanchet,,Yves-Francois.Blanchet@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-6035,613-947-5096,https://www.ourcommons.ca/members/en/yves-francois-blanchet(104669),1707851479772
104669,Yves-François Blanchet,,Yves-Francois.Blanchet@parl.gc.ca,,Constituency Office,Main office -  Chambly,,Chambly,Quebec,J3L 2Z5,,450-658-0088,450-658-0885,https://www.ourcommons.ca/members/en/yves-francois-blanchet(104669),1707851479772
104705,Maxime Blanchette-Joncas,,Maxime.Blanchette-Joncas@parl.gc.ca,http://www.maximeblanchettejoncas.quebec,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-5302,613-996-8298,https://www.ourcommons.ca/members/en/maxime-blanchette-joncas(104705),1707851479772
104705,Maxime Blanchette-Joncas,,Maxime.Blanchette-Joncas@parl.gc.ca,http://www.maximeblanchettejoncas.quebec,Constituency Office,Main office -  Rimouski,,Rimouski,Quebec,G5L 1C2,,418-725-2562,418-725-3993,https://www.ourcommons.ca/members/en/maxime-blanchette-joncas(104705),1707851479772
104705,Maxime Blanchette-Joncas,,Maxime.Blanchette-Joncas@parl.gc.ca,http://www.maximeblanchettejoncas.quebec,Constituency Office,Témiscouata-sur-le-Lac,,Témiscouata-sur-le-Lac,Quebec,G0L 1E0,,418-714-1011,,https://www.ourcommons.ca/members/en/maxime-blanchette-joncas(104705),1707851479772
89354,Rachel Blaney,,rachel.blaney@parl.gc.ca,http://rachelblaney.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2503,613-996-3306,https://www.ourcommons.ca/members/en/rachel-blaney(89354),1707851479772
89354,Rachel Blaney,,rachel.blaney@parl.gc.ca,http://rachelblaney.ndp.ca,Constituency Office,Powell River,,Powell River,British Columbia,V8A 2G8,,604-489-2286,,https://www.ourcommons.ca/members/en/rachel-blaney(89354),1707851479772
89354,Rachel Blaney,,rachel.blaney@parl.gc.ca,http://rachelblaney.ndp.ca,Constituency Office,Main office -  Campbell River,,Campbell River,British Columbia,V9W 4E4,,250-287-9388,250-287-9361,https://www.ourcommons.ca/members/en/rachel-blaney(89354),1707851479772
59156,Kelly Block,,kelly.block@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1551,613-943-2010,https://www.ourcommons.ca/members/en/kelly-block(59156),1707851479772
59156,Kelly Block,,kelly.block@parl.gc.ca,,Constituency Office,Main office -  Martensville,,Martensville,Saskatchewan,S0K 2T0,,306-975-4004,306-975-4051,https://www.ourcommons.ca/members/en/kelly-block(59156),1707851479772
59156,Kelly Block,,kelly.block@parl.gc.ca,,Constituency Office,Humboldt,,Humboldt,Saskatchewan,S0K 2A0,,306-682-1611,,https://www.ourcommons.ca/members/en/kelly-block(59156),1707851479772
59156,Kelly Block,,kelly.block@parl.gc.ca,,Constituency Office,Rosetown,,Rosetown,Saskatchewan,S0L 2V0,,306-882-6447,306-882-6443,https://www.ourcommons.ca/members/en/kelly-block(59156),1707851479772
104555,Kody Blois,,Kody.Blois@parl.gc.ca,http://kodyblois.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-8231,613-996-9349,https://www.ourcommons.ca/members/en/kody-blois(104555),1707851479772
104555,Kody Blois,,Kody.Blois@parl.gc.ca,http://kodyblois.libparl.ca,Constituency Office,Main office -  Wolfville,,Wolfville,Nova Scotia,B4P 2C1,,902-542-4010,902-542-4184,https://www.ourcommons.ca/members/en/kody-blois(104555),1707851479772
89147,The Honourable Randy Boissonnault,,randy.boissonnault@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-4524,613-943-0044,https://www.ourcommons.ca/members/en/randy-boissonnault(89147),1707851479772
89147,The Honourable Randy Boissonnault,,randy.boissonnault@parl.gc.ca,,Constituency Office,Main office -  Edmonton,,Edmonton,Alberta,T5N 1P9,,780-442-1888,780-442-1891,https://www.ourcommons.ca/members/en/randy-boissonnault(89147),1707851479772
58775,Alexandre Boulerice,,Alexandre.Boulerice@parl.gc.ca,http://www.boulerice.org,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0423,613-992-0878,https://www.ourcommons.ca/members/en/alexandre-boulerice(58775),1707851479772
