member_id,time_retrieved,office_type,office_title,office_address,office_city,office_province_territory,office_postal_code,office_note,office_phone,office_fax,office_email,office_toll_free,office_tty,source_url
7523,1709323701131,Ministry office,,"Ministry of Francophone Affairs
Suite 2501
700 Bay St.",Toronto,Ontario,M7A 0A2,,416-327-9200,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7523,1709323701131,Constituency office,,"Unit 9
45 Grist Mill Rd.",Holland Landing,Ontario,L9N 1M7,,905-895-1555   ,905-895-0337 ,Caroline.Mulroneyco@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7594,1709323701131,Constituency office,,"Suite 101
795 Eglinton Ave. E",Toronto,Ontario,M4G 4E4,,416-425-6777,416-425-0350,sbowman.mpp.co@liberal.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7594,1709323701131,Legislative office,,"Room 172
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-0008,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7616,1709323701131,Constituency office,,"Unit 401
120 Carlton St.",Toronto,Ontario,M5A 4K2,,416-972-7683,,KWong-Tam-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7616,1709323701131,Legislative office,,"Room 471
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-0031,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7610,1709323701131,Ministry office,,"Ministry of the Attorney General
McMurtry-Scott Building
11th Floor
720 Bay St.",Toronto,Ontario,M7A 2S9,,416-326-2220,416-325-1219,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7610,1709323701131,Constituency office,,"Suite 28
180 Parsons Rd.",Alliston,Ontario,L9R 1E8,,705-435-4087,705-435-1051,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7610,1709323701131,Constituency office,,"7317 Hwy. 26
P.O. Box 820",Stayner,Ontario,L0M 1S0,,705-428-2134,705-446-3397,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7613,1709323701131,Ministry office,,"Ministry of Indigenous Affairs
Suite 400
160 Bloor St. E",Toronto,Ontario,M7A 2E6,,416-325-0272,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7613,1709323701131,Ministry office,,"Ministry of Northern Development
99 Wellesley St. W",Toronto,Ontario,M7A 1A4,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7613,1709323701131,Constituency office,,"Unit 3
101 Main St. W",Atikokan,Ontario,P0T 1C0,,807-623-6702,807-623-8921,,833-743-1684,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7613,1709323701131,Constituency office,,774 James St. N (Main office),Thunder Bay,Ontario,P7C 5N3,,807-623-6702,807-623-8921,,833-743-1684,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7609,1709323701131,Ministry office,,"Ministry of Labour, Immigration, Training and Skills Development
Whitney Block
Room 1306
99 Wellesley St. W",Toronto,Ontario,M7A 1S3,,416-326-7600,416-325-0272,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7609,1709323701131,Constituency office,,2063 Lawrence Ave. E,Scarborough,Ontario,M1R 2Z4,,416-615-2183,416-615-2011,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7446,1709323701131,Constituency office,,"Unit 4B
555 Barrydowne Rd.",Sudbury,Ontario,P3A 3T4,,705-675-1914,705-675-1456,JWest-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7446,1709323701131,Legislative office,,"Room 347
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A8,,416-326-7144,416-326-7280,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7600,1709323701131,Ministry office,,"Ministry of Tourism, Culture and Sport
6th Floor
438 University Ave.",Toronto,Ontario,M7A 1N3,,416-326-9326,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7600,1709323701131,Constituency office,,"Unit 102
115 Hwy. 8",Hamilton,Ontario,L8G 1C1,,905-662-8755,905-662-0416 ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7607,1709323701131,Ministry office,,"Ministry of Natural Resources and Forestry
5th Floor
99 Wellesley St.",Toronto,Ontario,M7A 1W3,,416-314-2301,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7607,1709323701131,Constituency office,,26 James St.,Parry Sound,Ontario,P2A 1T5,,705-746-4266  ,705-746-1578   ,,1-888-701-1176 ,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7607,1709323701131,Constituency office,,230 Manitoba St.,Bracebridge,Ontario,P1L 2E1,,705-645-8538,705-645-8148 ,,1-888-267-4826   ,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7589,1709323701131,Ministry office,,"Ministry of Finance
Frost Building North
6th Floor
95 Grosvenor St.",Toronto,Ontario,M7A 1Z1,,416-325-0400,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7589,1709323701131,Constituency office,,"Suite 105
345 8th Street E",Owen Sound,Ontario,N4K 1L3,,519-371-2421,519-371-0953,,1-800-461-2664,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7506,1709323701131,Ministry office,,"Ministry for Seniors and Accessibility
5th Floor
777 Bay St.",Toronto,Ontario,M7A 1S5,,416-314-0797,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7506,1709323701131,Constituency office,,"Suite 409
9555 Yonge St.",Richmond Hill,Ontario,L4C 9M5,,905-884-8080,905-884-1040,Daisy.Waico@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
NaN,1709323701131,Constituency office,,360 James St.,Wallaceburg,Ontario,N8A 2N5,, 519-627-1015   , 519-627-7174 ,lambton-kent-middlesex@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
NaN,1709323701131,Constituency office,,81 Front St. W,Strathroy,Ontario,N7G 1X6,,519-245-8696,519-245-8697 ,lambton-kent-middlesex@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7590,1709323701131,Ministry office,,"Ministry of Colleges and Universities
5th Floor
438 University Ave.",Toronto,Ontario,M7A 0B8,,437-771-2987,416-326-2807,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7590,1709323701131,Constituency office,,"Suite 306
3027 Harvester Rd.",Burlington,Ontario,L7N 3G7,,905-639-7924,905-639-3284 ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7611,1709323701131,Ministry office,,"Ministry of Children, Community and Social Services
7th Floor
438 University Ave.",Toronto,Ontario,M5G 2K8,,416-325-5225,416-325-5240,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7611,1709323701131,Constituency office,,"Time Square
120 Second St. W",Cornwall,Ontario,K6J 1G5,,613-933-6513,613-933-6449   ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7612,1709323701131,Legislative office,,"Room 441
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7612,1709323701131,Constituency office,,"Centre Street Square
Unit 4
1136 Centre St.",Thornhill,Ontario,L4J 3M8,,905-731-1178,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7465,1709323701131,Ministry office,,"Ministry of Health
5th Floor
777 Bay St.",Toronto,Ontario,M7A 2J3,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7465,1709323701131,Constituency office,,2882 Dufferin St.,Toronto,Ontario,M6B 3S6,, 416-781-2395  ,416-781-4116  ,Robin.Martinco@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7164,1709323701131,Constituency office,,14 George Walk,Elliot Lake,Ontario,P5A 2A4,,705-461-9710 ,705-461-9720,MMantha-CO@ola.org,1-800-831-1899   ,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7164,1709323701131,Legislative office,,"Room 320
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-1938   ,416-325-1976,MMantha-QP@ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7461,1709323701131,Legislative office,,"Room 112
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A2,,416-325-1183,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7461,1709323701131,Constituency office,,"Suite 103
2175 Sheppard Ave. E",North York,Ontario,M2J 1W8,,416-494-8778  ,416-494-0110  ,Vke-CO@ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7192,1709323701131,Constituency office,,63B Government Rd. W,Kirkland Lake,Ontario,P2N 2E6,,705-567-4650,705-567-4208,JVanthof-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7192,1709323701131,Constituency office,,"Pinewoods Centre
Unit 5
247 Whitewood Ave.
P.O. Box 398",New Liskeard,Ontario,P0J 1P0,,705-647-5995,705-647-1976,JVanthof-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7192,1709323701131,Constituency office,,"2nd Floor
193 King St.",Sturgeon Falls,Ontario,P2B 1R8,,705-753-0200,705-753-0800,JVanthof-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7192,1709323701131,Legislative office,,"Room 348
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A8,,416-325-2000,416-325-1999,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7502,1709323701131,Constituency office,,2849 Dundas St. W,Toronto,Ontario,M6P 1Y6,,416-763-5630 ,416-763-5640  ,BKarpoche-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7502,1709323701131,Legislative office,,"Room 204
North Wing, Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-3017  ,416-325-2937 ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7591,1709323701131,Ministry office,,"Ministry of Public and Business Service Delivery
5th Floor
777 Bay St.",Toronto,Ontario,M7A 2J3,,416-212-2665,416-325-0272,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7591,1709323701131,Constituency office,,"Cambridge Place
Suite 601
73 Water St. N",Cambridge,Ontario,N1R 7L6,,519-650-2770 ,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7485,1709323701131,Legislative office,,"Room 448
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7485,1709323701131,Constituency office,,"Unit 3
7380 McCowan Rd.",Markham,Ontario,L3S 3H8,,905-305-1935  ,905-305-1938  ,Logan.Kanapathico@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7093,1709323701131,Ministry office,,"Ministry of Health
5th Floor
777 Bay St.",Toronto,Ontario,M7A 2J3,,416-327-4300,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7093,1709323701131,Constituency office,,"Suite A
3rd Floor
180 Broadway Ave.",Orangeville,Ontario,L9W 1K3,,519-941-7751  ,519-941-3246  ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7644,1709323701131,Legislative office,,"Room 153
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A2,,416-325-1207,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7644,1709323701131,Constituency office,,"Unit B1
3785 Kingston Rd.",Scarborough,Ontario,M1J 3M4,,416-281-2787  ,416-281-2360 ,AHazell.mpp.co@Liberal.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7469,1709323701131,Ministry office,,"Ministry of the Solicitor General
George Drew Building
25 Grosvenor St.",Toronto,Ontario,M7A 1Y6,,416-326-5000,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7469,1709323701131,Constituency office,,"Unit 21
195 Norseman St.",Etobicoke,Ontario,M8Z 0E9,,416-259-2249  ,,Christine.Hogarthco@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7604,1709323701131,Ministry office,,"Ministry of Long-Term Care
6th Floor
400 University Ave.",Toronto,Ontario,M5G 1S5,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7604,1709323701131,Constituency office,,"Unit 207
91 Cornelia Street W.",Smiths Falls,Ontario,K7A 5L3,,613-284-1630,613-284-0948,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7617,1709323701131,Ministry office,,"Ministry of Economic Development, Job Creation, and Trade
17th Floor
777 Bay St.",Toronto,Ontario,M5G 2E5,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7617,1709323701131,Constituency office,,"Unit 1
5452 Tecumseh Rd. E",Windsor,Ontario,N8T 1C7,,519-251-5199 ,519-251-5299 ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7619,1709323701131,Ministry office,,"Ministry of Citizenship and Multiculturalism
14th Floor
56 Wellesley St.",Toronto,Ontario,M7A 2E7,,416-212-0036,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7619,1709323701131,Constituency office,,1832 Weston Rd.,Toronto,Ontario,M9N 1V8,,416-243-7984,416-243-0327,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7499,1709323701131,Ministry office,,"Ministry of Economic Development, Job Creation, and Trade
Whitney Block
Room 1308
99 Wellesley St. W",Toronto,Ontario,M7A 1S3,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7499,1709323701131,Constituency office,,"Unit 570
2525 Old Bronte Rd.",Oakville,Ontario,L6M 4J2,,905-825-2455,905-825-0663,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7519,1709323701131,Ministry office,,"Ministry of Health
Frost Building South
7 Queens Park Circle",Toronto,Ontario,M7A 1Y7,,416-327-4300,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7519,1709323701131,Constituency office,,"Unit 3
5100 Rutherford Rd.",Woodbridge,Ontario,L4H 2J2,,905-893-4428,905-893-4537,Michael.Tibolloco@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7204,1709323701131,Constituency office,,"Suite 220
100 Regina St. S",Waterloo,Ontario,N2J 4P9,,519-725-3477,519-725-3667,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7204,1709323701131,Legislative office,,"Room 370
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-6913,416-325-6942,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7179,1709323701131,Ministry office,,"Ministry of Agriculture, Food and Rural Affairs
11th Floor
77 Grenville St.",Toronto,Ontario,M5S 1B3,,416-326-3074,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7179,1709323701131,Constituency office,,"408 Queen St.
P.O. Box 426",Blyth,Ontario,N0M 1H0,,519-523-4251,226-523-9296,Lisa.Thompsonco@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7179,1709323701131,Constituency office,,"Unit 2
807 Queen St.",Kincardine,Ontario,N2Z 2Y2,,519-396-3007,519-396-3011,Lisa.Thompsonco@pc.ola.org,1-866-396-3007,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7477,1709323701131,Constituency office,,"Unit 104
73 King St.
P.O. Box 176",Sioux Lookout,Ontario,P8T 1A1,,807-737-2210,807-737-1592,SMamakwa-CO@ndp.on.ca,1-888-444-1723,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7477,1709323701131,Constituency office,,"Unit 4
14 Discovery Rd.
P.O. Box 855",Red Lake,Ontario,P0V 2M0,,807-727-1133,,SMamakwa-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7477,1709323701131,Legislative office,,"Room 201
North Wing, Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-326-7692 ,416-326-7690,SMamakwa-QP@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7511,1709323701131,Ministry office,,"Ministry of Transportation
5th Floor
777 Bay St",Toronto,Ontario,M7A 1Z8,,416-327-9200,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7511,1709323701131,Constituency office,,"Unit 105
8130 Sheppard Ave. E",Toronto,Ontario,M1B 3W3,,416-283-8448,416-283-1597,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7178,1709323701131,Constituency office,,"Unit 202
555 Concession St.",Hamilton,Ontario,L8V 1A8,,905-388-9734,905-388-7862,MTaylor-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7178,1709323701131,Legislative office,,"Room 357
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-1796,416-325-1863,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7494,1709323701131,Ministry office,,"Ministry of Economic Development, Job Creation and Trade
18th Floor
777 Bay St.",Toronto,Ontario,M7A 1S5,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7494,1709323701131,Constituency office,,330 Queen St. S,Mississauga,Ontario,L5M 1M2,,905-569-1643,905-569-6416,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7603,1709323701131,Ministry office,,"Ministry of Energy
10th Floor
77 Grenville Ave.",Toronto,Ontario,M7A 2C1,,437-235-7208,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7603,1709323701131,Constituency office,,"Building A
Unit 11
260 Holiday Inn Dr.",Cambridge,Ontario,N3C 2E8,,519-650-9413,519-650-7006,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7041,1709323701131,Constituency office,,923 Danforth Ave.,Toronto,Ontario,M4J 1L8,,416-461-0223,416-461-9542,tabunsp-co@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7041,1709323701131,Legislative office,,"Room 465
111 Wellesley St. W",Toronto,Ontario,M7A 1A5,,416-325-3250,416-325-3252,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7185,1709323701131,Ministry office,,"Ministry of Economic Development, Job Creation, and Trade
18th Floor
777 Bay St.",Toronto,Ontario,M7A 1S5,,416-326-8475,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7185,1709323701131,Constituency office,,219 Main St. E,North Bay,Ontario,P1B 1B2,,705-474-8340,705-474-9747,Vic.Fedelico@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
